overview_date,portfolio_id,book_name,instrument_name,asset_value,dtd_ativo_pct,dtd_ativo_fin,exposure_value,asset_value_ontem,exposure_value_ontem
1/29/2025,1295,Risco >> Renda Fixa,BETA CURVA,1710713545,0.000368548,630247.2843,1710713545,1710083297,1710083297
1/30/2025,1295,Risco >> Renda Fixa,BETA CURVA,1711344039,0.000368556,630493.9388,1711344039,1710713545,1710713545
1/31/2025,1295,Risco >> Renda Fixa,BETA CURVA,1711974779,0.000368565,630740.6952,1711974779,1711344039,1711344039
2/3/2025,1295,Risco >> Renda Fixa,BETA CURVA,1713159139,0.000691809,1184359.581,1713159139,1711974779,1711974779
2/4/2025,1295,Risco >> Renda Fixa,BETA CURVA,1714344367,0.000691838,1185227.856,1714344367,1713159139,1713159139
2/5/2025,1295,Risco >> Renda Fixa,BETA CURVA,1715530464,0.000691866,1186096.795,1715530464,1714344367,1714344367
2/6/2025,1295,Risco >> Renda Fixa,BETA CURVA,1716717430,0.000691895,1186966.4,1716717430,1715530464,1715530464
2/7/2025,1295,Risco >> Renda Fixa,BETA CURVA,1717905267,0.000691923,1187836.671,1717905267,1716717430,1716717430
2/10/2025,1295,Risco >> Renda Fixa,BETA CURVA,1719093974,0.000691952,1188707.607,1719093974,1717905267,1717905267
2/11/2025,1295,Risco >> Renda Fixa,BETA CURVA,1720283553,0.00069198,1189579.211,1720283553,1719093974,1719093974
2/12/2025,1295,Risco >> Renda Fixa,BETA CURVA,1721474005,0.000692009,1190451.481,1721474005,1720283553,1720283553
2/13/2025,1295,Risco >> Renda Fixa,BETA CURVA,1722665329,0.000692037,1191324.42,1722665329,1721474005,1721474005
2/14/2025,1295,Risco >> Renda Fixa,BETA CURVA,1723857527,0.000692066,1192198.027,1723857527,1722665329,1722665329
2/17/2025,1295,Risco >> Renda Fixa,BETA CURVA,1725050600,0.000692094,1193072.303,1725050600,1723857527,1723857527
2/18/2025,1295,Risco >> Renda Fixa,BETA CURVA,1727778264,0.001581209,2727664.753,1727778264,1725050600,1725050600
2/19/2025,1295,Risco >> Renda Fixa,BETA CURVA,1728975288,0.000692811,1197023.304,1728975288,1727778264,1727778264
2/20/2025,1295,Risco >> Renda Fixa,BETA CURVA,1730173190,0.000692839,1197902.363,1730173190,1728975288,1728975288
2/21/2025,1295,Risco >> Renda Fixa,BETA CURVA,1731371972,0.000692868,1198782.097,1731371972,1730173190,1730173190
2/24/2025,1295,Risco >> Renda Fixa,BETA CURVA,1732571635,0.000692897,1199662.505,1732571635,1731371972,1731371972
2/25/2025,1295,Risco >> Renda Fixa,BETA CURVA,1733772178,0.000692926,1200543.589,1733772178,1732571635,1732571635
2/26/2025,1295,Risco >> Renda Fixa,BETA CURVA,1734973604,0.000692955,1201425.348,1734973604,1733772178,1733772178
2/27/2025,1295,Risco >> Renda Fixa,BETA CURVA,1736175911,0.000692983,1202307.784,1736175911,1734973604,1734973604
2/28/2025,1295,Risco >> Renda Fixa,BETA CURVA,1737379091,0.000693005,1203179.181,1737379091,1736175911,1736175911
3/5/2025,1295,Risco >> Renda Fixa,BETA CURVA,1738216002,0.000481709,836911.1837,1738216002,1737379091,1737379091
3/6/2025,1295,Risco >> Renda Fixa,BETA CURVA,1739053319,0.000481711,837316.9551,1739053319,1738216002,1738216002
3/7/2025,1295,Risco >> Renda Fixa,BETA CURVA,1739891042,0.000481712,837722.9245,1739891042,1739053319,1739053319
3/10/2025,1295,Risco >> Renda Fixa,BETA CURVA,1740729171,0.000481714,838129.092,1740729171,1739891042,1739891042
3/11/2025,1295,Risco >> Renda Fixa,BETA CURVA,1741567706,0.000481715,838535.4577,1741567706,1740729171,1740729171
3/12/2025,1295,Risco >> Renda Fixa,BETA CURVA,1742406648,0.000481717,838942.0217,1742406648,1741567706,1741567706
3/13/2025,1295,Risco >> Renda Fixa,BETA CURVA,1743245997,0.000481718,839348.784,1743245997,1742406648,1742406648
3/14/2025,1295,Risco >> Renda Fixa,BETA CURVA,1744085753,0.00048172,839755.7448,1744085753,1743245997,1743245997
3/17/2025,1295,Risco >> Renda Fixa,BETA CURVA,1744925916,0.000481721,840162.9042,1744925916,1744085753,1744085753
3/18/2025,1295,Risco >> Renda Fixa,BETA CURVA,1745766486,0.000481723,840570.2623,1745766486,1744925916,1744925916
3/19/2025,1295,Risco >> Renda Fixa,BETA CURVA,1746607464,0.000481724,840977.8191,1746607464,1745766486,1745766486
3/20/2025,1295,Risco >> Renda Fixa,BETA CURVA,1747448996,0.000481809,841531.8627,1747448996,1746607464,1746607464
3/21/2025,1295,Risco >> Renda Fixa,BETA CURVA,1748290936,0.000481811,841939.966,1748290936,1747448996,1747448996
3/24/2025,1295,Risco >> Renda Fixa,BETA CURVA,1749133284,0.000481812,842348.2684,1749133284,1748290936,1748290936
3/25/2025,1295,Risco >> Renda Fixa,BETA CURVA,1749976041,0.000481814,842756.7701,1749976041,1749133284,1749133284
3/26/2025,1295,Risco >> Renda Fixa,BETA CURVA,1870533098,0.000318323,557057.8007,1870533098,1749976041,1749976041
3/27/2025,1295,Risco >> Renda Fixa,BETA CURVA,1871442861,0.000486365,909762.2572,1871442861,1870533098,1870533098
3/28/2025,1295,Risco >> Renda Fixa,BETA CURVA,1872353069,0.000486367,910207.9521,1872353069,1871442861,1871442861
3/31/2025,1295,Risco >> Renda Fixa,BETA CURVA,1873263722,0.000486369,910653.867,1873263722,1872353069,1872353069
4/1/2025,1295,Risco >> Renda Fixa,BETA CURVA,1874104298,0.000448722,840575.4602,1874104298,1873263722,1873263722
4/2/2025,1295,Risco >> Renda Fixa,BETA CURVA,1874945254,0.000448724,840956.4133,1874945254,1874104298,1874104298
4/3/2025,1295,Risco >> Renda Fixa,BETA CURVA,1875786592,0.000448726,841337.5407,1875786592,1874945254,1874945254
4/4/2025,1295,Risco >> Renda Fixa,BETA CURVA,1876628311,0.000448728,841718.8426,1876628311,1875786592,1875786592
4/7/2025,1295,Risco >> Renda Fixa,BETA CURVA,1877470411,0.00044873,842100.3189,1877470411,1876628311,1876628311
4/8/2025,1295,Risco >> Renda Fixa,BETA CURVA,1878312893,0.000448732,842481.9699,1878312893,1877470411,1877470411
4/9/2025,1295,Risco >> Renda Fixa,BETA CURVA,1879155757,0.000448734,842863.7954,1879155757,1878312893,1878312893
4/10/2025,1295,Risco >> Renda Fixa,BETA CURVA,1879999003,0.000448737,843245.7958,1879999003,1879155757,1879155757
4/11/2025,1295,Risco >> Renda Fixa,BETA CURVA,1880842631,0.000448739,843627.9709,1880842631,1879999003,1879999003
4/14/2025,1295,Risco >> Renda Fixa,BETA CURVA,1881686641,0.000448741,844010.321,1881686641,1880842631,1880842631
4/15/2025,1295,Risco >> Renda Fixa,BETA CURVA,1882531034,0.000448743,844392.846,1882531034,1881686641,1881686641
4/16/2025,1295,Risco >> Renda Fixa,BETA CURVA,1883375809,0.000448745,844775.5462,1883375809,1882531034,1882531034
4/17/2025,1295,Risco >> Renda Fixa,BETA CURVA,1884220968,0.000448747,845158.4214,1884220968,1883375809,1883375809
4/22/2025,1295,Risco >> Renda Fixa,BETA CURVA,1885066509,0.000448749,845541.4719,1885066509,1884220968,1884220968
4/23/2025,1295,Risco >> Renda Fixa,BETA CURVA,1885912434,0.000448751,845924.6977,1885912434,1885066509,1885066509
4/24/2025,1295,Risco >> Renda Fixa,BETA CURVA,1886758742,0.000448753,846308.0989,1886758742,1885912434,1885912434
4/25/2025,1295,Risco >> Renda Fixa,BETA CURVA,1887605434,0.000448755,846691.6755,1887605434,1886758742,1886758742
4/28/2025,1295,Risco >> Renda Fixa,BETA CURVA,1888452509,0.000448757,847075.4277,1888452509,1887605434,1887605434
4/29/2025,1295,Risco >> Renda Fixa,BETA CURVA,1889299968,0.000448759,847459.3556,1889299968,1888452509,1888452509
4/30/2025,1295,Risco >> Renda Fixa,BETA CURVA,1889866666,0.000299951,566697.993,1889866666,1889299968,1889299968
5/2/2025,1295,Risco >> Renda Fixa,BETA CURVA,1890620541,0.000398904,753874.4292,1890620541,1889866666,1889866666
5/5/2025,1295,Risco >> Renda Fixa,BETA CURVA,1891374726,0.000398909,754184.6174,1891374726,1890620541,1890620541
5/6/2025,1295,Risco >> Renda Fixa,BETA CURVA,1892129220,0.000398914,754494.9369,1892129220,1891374726,1891374726
5/7/2025,1295,Risco >> Renda Fixa,BETA CURVA,1892884026,0.000398919,754805.3877,1892884026,1892129220,1892129220
5/8/2025,1295,Risco >> Renda Fixa,BETA CURVA,1893639224,0.000398967,755197.9261,1893639224,1892884026,1892884026
5/9/2025,1295,Risco >> Renda Fixa,BETA CURVA,1894394732,0.000398972,755508.7273,1894394732,1893639224,1893639224
5/12/2025,1295,Risco >> Renda Fixa,BETA CURVA,1895150552,0.000398977,755819.6601,1895150552,1894394732,1894394732
5/13/2025,1295,Risco >> Renda Fixa,BETA CURVA,1895906683,0.000398982,756130.7245,1895906683,1895150552,1895150552
5/14/2025,1295,Risco >> Renda Fixa,BETA CURVA,1896321985,0.000219052,415301.8094,1896321985,1895906683,1895906683
5/15/2025,1295,Risco >> Renda Fixa,BETA CURVA,1897078553,0.000398966,756568.2428,1897078553,1896321985,1896321985
5/16/2025,1295,Risco >> Renda Fixa,BETA CURVA,1897715948,0.000335988,637394.7492,1897715948,1897078553,1897078553
5/19/2025,1295,Risco >> Renda Fixa,BETA CURVA,1884637617,-0.006891617,-13078330.89,1884637617,1897715948,1897715948
5/20/2025,1295,Risco >> Renda Fixa,BETA CURVA,1885415946,0.000412986,778329.2511,1885415946,1884637617,1884637617
5/21/2025,1295,Risco >> Renda Fixa,BETA CURVA,1886194604,0.00041299,778658.1188,1886194604,1885415946,1885415946
5/22/2025,1295,Risco >> Renda Fixa,BETA CURVA,1886973591,0.000412994,778987.1282,1886973591,1886194604,1886194604
5/23/2025,1295,Risco >> Renda Fixa,BETA CURVA,1887752908,0.000412998,779316.249,1887752908,1886973591,1886973591
5/26/2025,1295,Risco >> Renda Fixa,BETA CURVA,1888532553,0.000413002,779645.5728,1888532553,1887752908,1887752908
5/27/2025,1295,Risco >> Renda Fixa,BETA CURVA,1889312528,0.000413006,779975.008,1889312528,1888532553,1888532553
