overview_date,portfolio_id,instrument_name,instrument_id,book_name,asset_value,dtd_ativo_fin,exposure_value,exposure_value_ontem,asset_value_ontem,dtd_ativo_pct,Year,Month,mtd_ativo_pct,ytd_ativo_pct,grupo_1,grupo_2,grupo_3
2025-03-19,1295,2663,0.0,Risco >> Multimercado Terceiros,593209241.9,90766.03,593209241.9,593118475.8,593118475.8,0.00015303187087128674,2025.0,3.0,-0.004079656083817995,0.0017384867562477702,Risco,Multimercado Terceiros,
2025-03-20,1295,2663,0.0,Risco >> Multimercado Terceiros,592118470.5,-1090771.37,592118470.5,593209241.9,593209241.9,-0.001838763277703412,2025.0,3.0,-0.0059109178397287465,-0.00010347318706172004,Risco,Multimercado Terceiros,
2025-03-21,1295,2663,0.0,Risco >> Multimercado Terceiros,591222219.6,-896250.88,591222219.6,592118470.5,592118470.5,-0.0015136343901638177,2025.0,3.0,-0.007415605261372971,-0.001616950956651153,Risco,Multimercado Terceiros,
2025-03-24,1295,2663,0.0,Risco >> Multimercado Terceiros,590105522.4,-1116697.22,590105522.4,591222219.6,591222219.6,-0.0018887944041675526,2025.0,3.0,-0.00929039311181934,-0.003502691272899927,Risco,Multimercado Terceiros,
2025-03-25,1295,2663,0.0,Risco >> Multimercado Terceiros,590140412.8,34890.4,590140412.8,590105522.4,590105522.4,5.91256964654361e-05,2025.0,3.0,-0.00923181671631701,-0.003443772675495449,Risco,Multimercado Terceiros,
2025-03-26,1295,2663,0.0,Risco >> Multimercado Terceiros,589689893.4,-450519.38,589689893.4,590140412.8,590140412.8,-0.0007634104871117887,2025.0,3.0,-0.009988179537732456,-0.004204554150431528,Risco,Multimercado Terceiros,
2025-03-27,1295,2663,0.0,Risco >> Multimercado Terceiros,589408019.5,-281873.87,589408019.5,589689893.4,589689893.4,-0.0004780035628129692,2025.0,3.0,-0.010461408715140452,-0.004680547921380618,Risco,Multimercado Terceiros,
2025-03-28,1295,2663,0.0,Risco >> Multimercado Terceiros,591344463.4,1936443.88,591344463.4,589408019.5,589408019.5,0.0032854047042704003,2025.0,3.0,-0.007210373972276196,-0.0014105207112697915,Risco,Multimercado Terceiros,
2025-03-31,1295,2663,0.0,Risco >> Multimercado Terceiros,590786165.7,-558297.68,590786165.7,591344463.4,591344463.4,-0.0009441158488066434,2025.0,3.0,-0.008147682392739775,-0.0023533048651178667,Risco,Multimercado Terceiros,
2025-04-01,1295,2663,0.0,Risco >> Multimercado Terceiros,591926089.3,1139923.56,591926089.3,590786165.7,590786165.7,0.001929502798443745,2025.0,4.0,0.0019295027984438384,-0.00042834277499681495,Risco,Multimercado Terceiros,
2025-04-02,1295,2663,0.0,Risco >> Multimercado Terceiros,592216724.0,290634.67,592216724.0,591926089.3,591926089.3,0.000490998243283547,2025.0,4.0,0.0024214484242117695,6.244515273667872e-05,Risco,Multimercado Terceiros,
2025-04-03,1295,2663,0.0,Risco >> Multimercado Terceiros,597472902.3,5256178.35,597472902.3,592216724.0,592216724.0,0.008875430458123975,2025.0,4.0,0.011318370279432832,0.008938429838471151,Risco,Multimercado Terceiros,
2025-04-04,1295,2663,0.0,Risco >> Multimercado Terceiros,599412096.7,1939194.36,599412096.7,597472902.3,597472902.3,0.0032456607697771405,2025.0,4.0,0.014600766639603746,0.012213101719318331,Risco,Multimercado Terceiros,
2025-04-07,1295,2663,0.0,Risco >> Multimercado Terceiros,600314999.7,902903.0,600314999.7,599412096.7,599412096.7,0.0015063142785586695,2025.0,4.0,0.016129074261429732,0.013737812767382396,Risco,Multimercado Terceiros,
2025-04-08,1295,2663,0.0,Risco >> Multimercado Terceiros,602674610.9,2359611.21,602674610.9,600314999.7,600314999.7,0.0039306217755331555,2025.0,4.0,0.020123093327473862,0.017722432688927148,Risco,Multimercado Terceiros,
2025-04-09,1295,2663,0.0,Risco >> Multimercado Terceiros,601380700.9,-1293910.03,601380700.9,602674610.9,602674610.9,-0.00214694630667741,2025.0,4.0,0.017932943819898073,0.01553743727084278,Risco,Multimercado Terceiros,
2025-04-10,1295,2663,0.0,Risco >> Multimercado Terceiros,603386563.9,2005863.08,603386563.9,601380700.9,601380700.9,0.0033354297485737624,2025.0,4.0,0.021328187642768226,0.01892469104990635,Risco,Multimercado Terceiros,
2025-04-11,1295,2663,0.0,Risco >> Multimercado Terceiros,606479419.0,3092855.07,606479419.0,603386563.9,603386563.9,0.0051258268828680495,2025.0,4.0,0.026563339123218288,0.02414752262290798,Risco,Multimercado Terceiros,
2025-04-14,1295,2663,0.0,Risco >> Multimercado Terceiros,605464795.4,-1014623.65,605464795.4,606479419.0,606479419.0,-0.0016729729290286106,2025.0,4.0,0.024845926446932065,0.022434151542228165,Risco,Multimercado Terceiros,
2025-04-15,1295,2663,0.0,Risco >> Multimercado Terceiros,605997523.7,532728.34,605997523.7,605464795.4,605464795.4,0.0008798667470799079,2025.0,4.0,0.025747654298493128,0.02333375735324905,Risco,Multimercado Terceiros,
2025-04-16,1295,2663,0.0,Risco >> Multimercado Terceiros,607309806.0,1312282.26,607309806.0,605997523.7,605997523.7,0.002165491126081973,2025.0,4.0,0.027968901741475927,0.025549777523817596,Risco,Multimercado Terceiros,
2025-04-17,1295,2663,0.0,Risco >> Multimercado Terceiros,596085244.3,775438.34,596085244.3,607309806.0,607309806.0,0.0012768414610450074,2025.0,4.0,0.029281455055884198,0.02685924200012546,Risco,Multimercado Terceiros,
2025-04-22,1295,2663,0.0,Risco >> Multimercado Terceiros,598295365.5,2210121.23,598295365.5,596085244.3,596085244.3,0.003707726790981731,2025.0,4.0,0.03309774948225552,0.0306665555222565,Risco,Multimercado Terceiros,
2025-04-23,1295,2663,0.0,Risco >> Multimercado Terceiros,599164163.5,868797.96,599164163.5,598295365.5,598295365.5,0.0014521221625608597,2025.0,4.0,0.03459793362037056,0.03216320926974081,Risco,Multimercado Terceiros,
2025-04-24,1295,2663,0.0,Risco >> Multimercado Terceiros,602630088.3,3465924.82,602630088.3,599164163.5,599164163.5,0.005784599665897742,2025.0,4.0,0.04058266848152958,0.03813386022523457,Risco,Multimercado Terceiros,
2025-04-25,1295,2663,0.0,Risco >> Multimercado Terceiros,602571021.4,-59066.93,602571021.4,602630088.3,602630088.3,-9.801523545999155e-05,2025.0,4.0,0.04048067552626278,0.03803210729048567,Risco,Multimercado Terceiros,
2025-04-28,1295,2663,0.0,Risco >> Multimercado Terceiros,603319718.3,748696.89,603319718.3,602571021.4,602571021.4,0.0012425039761462383,2025.0,4.0,0.04177347690270761,0.039321866311161635,Risco,Multimercado Terceiros,
2025-04-29,1295,2663,0.0,Risco >> Multimercado Terceiros,602896114.1,-423604.15,602896114.1,603319718.3,603319718.3,-0.0007021221703040102,2025.0,4.0,0.04104202464813955,0.03859213538674289,Risco,Multimercado Terceiros,
2025-04-30,1295,2663,0.0,Risco >> Multimercado Terceiros,604981381.0,2085266.85,604981381.0,602896114.1,602896114.1,0.003458749859605373,2025.0,4.0,0.044642728604734616,0.04218436578919915,Risco,Multimercado Terceiros,
2025-05-02,1295,2663,0.0,Risco >> Multimercado Terceiros,623254909.4,-1726471.55,623254909.4,604981381.0,604981381.0,-0.0028537598085188014,2025.0,5.0,-0.002853759808518763,0.03921022193304324,Risco,Multimercado Terceiros,
