overview_date,portfolio_id,book_name,instrument_name,asset_value,dtd_ativo_pct,dtd_ativo_fin,exposure_value,asset_value_ontem,exposure_value_ontem
5/23/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,263543992.8,0.000583918,153798.32,263543992.8,263390194.4,263390194.4
5/26/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,280687733.5,0.00054236,142935.62,280687733.5,263543992.8,263543992.8
5/27/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,263831186.9,0.000543528,152561.66,263831186.9,280687733.5,280687733.5
5/28/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,275466870.8,0.000514283,135683.84,275466870.8,263831186.9,263831186.9
5/29/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,275614715.5,0.000536706,147844.71,275614715.5,275466870.8,275466870.8
5/30/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,274107366.8,0.000518269,142842.58,274107366.8,275614715.5,275614715.5
6/2/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,274250828.9,0.000523379,143462.1,274250828.9,274107366.8,274107366.8
6/3/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,274398591.8,0.000538787,147762.89,274398591.8,274250828.9,274250828.9
6/4/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,274551079.6,0.000555716,152487.82,274551079.6,274398591.8,274398591.8
6/5/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,274691714.2,0.000512235,140634.57,274691714.2,274551079.6,274551079.6
6/6/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,274839824.1,0.000539186,148109.9,274839824.1,274691714.2,274691714.2
6/9/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,274983517.3,0.000522825,143693.21,274983517.3,274839824.1,274839824.1
6/10/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,275131575,0.000538424,148057.74,275131575,274983517.3,274983517.3
6/11/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,275290884.6,0.000579031,159309.61,275290884.6,275131575,275131575
6/12/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,275436902.5,0.000530413,146017.88,275436902.5,275290884.6,275290884.6
6/13/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,275554820.1,0.000556612,153311.41,275554820.1,275436902.5,275436902.5
6/16/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,271685231.3,0.0005076,139871.75,271685231.3,275554820.1,275554820.1
6/17/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,268244713.1,0.000599956,162999.09,268244713.1,271685231.3,271685231.3
6/18/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,268393728.3,0.00055552,149015.21,268393728.3,268244713.1,268244713.1
6/20/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,268539426.9,0.000542854,145698.6,268539426.9,268393728.3,268393728.3
6/23/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,268679515.8,0.00052167,140088.93,268679515.8,268539426.9,268539426.9
6/24/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,268829304.3,0.000557499,149788.52,268829304.3,268679515.8,268679515.8
6/25/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,280272233.5,0.000529699,142398.55,280272233.5,268829304.3,268829304.3
6/26/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,280442934.1,0.000609053,170700.66,280442934.1,280272233.5,280272233.5
6/27/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,283182464.7,0.000497536,139530.55,283182464.7,280442934.1,280442934.1
6/30/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,283341223.5,0.000560624,158758.86,283341223.5,283182464.7,283182464.7
12/31/2024,1295,Risco >> Crédito,OUTROS,207981818.7,0.001491658,309775.6569,207981818.7,0,0
1/2/2025,1295,Risco >> Crédito,OUTROS,208065885.3,0.000404201,84066.5464,208065885.3,207981818.7,207981818.7
1/3/2025,1295,Risco >> Crédito,OUTROS,208097175.5,0.000150386,31290.22541,208097175.5,208065885.3,208065885.3
1/6/2025,1295,Risco >> Crédito,OUTROS,208261756.6,0.000790886,164581.0652,208261756.6,208097175.5,208097175.5
1/7/2025,1295,Risco >> Crédito,OUTROS,208281614,0.0000953,19857.4682,208281614,208261756.6,208261756.6
1/8/2025,1295,Risco >> Crédito,OUTROS,208455049.5,0.000832697,173435.4214,208455049.5,208281614,208281614
1/9/2025,1295,Risco >> Crédito,OUTROS,208622390.5,0.000802768,167340.9995,208622390.5,208455049.5,208455049.5
1/10/2025,1295,Risco >> Crédito,OUTROS,208007826.9,0.000701276,146301.7757,208007826.9,208622390.5,208622390.5
1/13/2025,1295,Risco >> Crédito,OUTROS,208148746.2,0.000677471,140919.2164,208148746.2,208007826.9,208007826.9
1/14/2025,1295,Risco >> Crédito,OUTROS,208094809.4,-0.000259126,-53936.80661,208094809.4,208148746.2,208148746.2
1/15/2025,1295,Risco >> Crédito,OUTROS,208256876,0.000778812,162066.6536,208256876,208094809.4,208094809.4
1/16/2025,1295,Risco >> Crédito,OUTROS,208243570.3,-0.0000639,-13305.75597,208243570.3,208256876,208256876
1/17/2025,1295,Risco >> Crédito,OUTROS,208408430.5,0.000791671,164860.292,208408430.5,208243570.3,208243570.3
1/20/2025,1295,Risco >> Crédito,OUTROS,209187907.4,0.003740141,779476.8903,209187907.4,208408430.5,208408430.5
1/21/2025,1295,Risco >> Crédito,OUTROS,209307352.4,0.000570993,119444.9165,209307352.4,209187907.4,209187907.4
1/22/2025,1295,Risco >> Crédito,OUTROS,209366874.7,0.000284378,59522.3683,209366874.7,209307352.4,209307352.4
1/23/2025,1295,Risco >> Crédito,OUTROS,208861184.7,-0.000408048,-85431.76145,208861184.7,209366874.7,209366874.7
1/24/2025,1295,Risco >> Crédito,OUTROS,208883448.4,0.000106596,22263.75422,208883448.4,208861184.7,208861184.7
1/27/2025,1295,Risco >> Crédito,OUTROS,209045001.8,0.000773414,161553.388,209045001.8,208883448.4,208883448.4
1/28/2025,1295,Risco >> Crédito,OUTROS,209036930.3,-0.0000386,-8071.525445,209036930.3,209045001.8,209045001.8
1/29/2025,1295,Risco >> Crédito,OUTROS,209004467.4,-0.000155297,-32462.87622,209004467.4,209036930.3,209036930.3
1/30/2025,1295,Risco >> Crédito,OUTROS,209289309.4,0.001362851,284841.9927,209289309.4,209004467.4,209004467.4
