overview_date,name,Erro
2025-03-19 00:00:00,TITANS FIF MULTI,0.05%
2025-03-20 00:00:00,Carteira 1,-0.01%
2025-03-20 00:00:00,CSHG CHIEFS FIA IE,-0.29%
2025-03-20 00:00:00,CSHG YANKEE FIC FIM IE,-0.19%
2025-03-20 00:00:00,DODGERS FIA,-0.11%
2025-03-20 00:00:00,RAMS FIA,-0.31%
2025-03-20 00:00:00,TITANS FIF MULTI,-0.31%
2025-03-21 00:00:00,Carteira 1,-0.02%
2025-03-21 00:00:00,CSHG CHIEFS FIA IE,0.28%
2025-03-21 00:00:00,CSHG YANKEE FIC FIM IE,0.32%
2025-03-21 00:00:00,DODGERS FIA,-0.02%
2025-03-21 00:00:00,RAMS FIA,0.27%
2025-03-21 00:00:00,TITANS FIF MULTI,0.31%
2025-03-24 00:00:00,Carteira 1,-0.01%
2025-03-24 00:00:00,CSHG CHIEFS FIA IE,-0.06%
2025-03-24 00:00:00,CSHG YANKEE FIC FIM IE,-0.04%
2025-03-24 00:00:00,DODGERS FIA,0.05%
2025-03-24 00:00:00,RAMS FIA,-0.14%
2025-03-24 00:00:00,TITANS FIF MULTI,-0.06%
2025-03-25 00:00:00,Carteira 1,0.11%
2025-03-25 00:00:00,CSHG CHIEFS FIA IE,0.10%
2025-03-25 00:00:00,CSHG YANKEE FIC FIM IE,0.15%
2025-03-25 00:00:00,DODGERS FIA,0.07%
2025-03-25 00:00:00,RAMS FIA,0.12%
2025-03-25 00:00:00,TITANS FIF MULTI,0.09%
2025-03-26 00:00:00,Carteira 1,-0.20%
2025-03-26 00:00:00,CSHG CHIEFS FIA IE,-0.24%
2025-03-26 00:00:00,CSHG YANKEE FIC FIM IE,-0.13%
2025-03-26 00:00:00,DODGERS FIA,-0.06%
2025-03-26 00:00:00,RAMS FIA,-0.09%
2025-03-26 00:00:00,TITANS FIF MULTI,-0.18%
2025-03-27 00:00:00,Carteira 1,1.10%
2025-03-27 00:00:00,CSHG CHIEFS FIA IE,1.13%
2025-03-27 00:00:00,CSHG YANKEE FIC FIM IE,1.08%
2025-03-27 00:00:00,DODGERS FIA,1.19%
2025-03-27 00:00:00,RAMS FIA,1.11%
2025-03-27 00:00:00,TITANS FIF MULTI,1.12%
2025-03-28 00:00:00,Carteira 1,0.26%
2025-03-28 00:00:00,CSHG CHIEFS FIA IE,0.23%
2025-03-28 00:00:00,CSHG YANKEE FIC FIM IE,0.27%
2025-03-28 00:00:00,DODGERS FIA,0.16%
2025-03-28 00:00:00,RAMS FIA,0.34%
2025-03-28 00:00:00,TITANS FIF MULTI,0.31%
2025-03-31 00:00:00,Carteira 1,-0.02%
2025-03-31 00:00:00,CSHG CHIEFS FIA IE,-0.13%
2025-03-31 00:00:00,CSHG YANKEE FIC FIM IE,-0.12%
2025-03-31 00:00:00,DODGERS FIA,0.07%
2025-03-31 00:00:00,RAMS FIA,-0.08%
2025-03-31 00:00:00,TITANS FIF MULTI,-0.05%
2025-04-01 00:00:00,Carteira 1,-0.02%
2025-04-01 00:00:00,CSHG CHIEFS FIA IE,0.17%
2025-04-01 00:00:00,CSHG YANKEE FIC FIM IE,0.16%
2025-04-01 00:00:00,DODGERS FIA,0.14%
2025-04-01 00:00:00,RAMS FIA,0.20%
2025-04-01 00:00:00,TITANS FIF MULTI,0.19%
2025-04-02 00:00:00,Carteira 1,-0.02%
2025-04-02 00:00:00,CSHG CHIEFS FIA IE,0.32%
2025-04-02 00:00:00,CSHG YANKEE FIC FIM IE,0.26%
2025-04-02 00:00:00,DODGERS FIA,0.02%
2025-04-02 00:00:00,RAMS FIA,0.20%
2025-04-02 00:00:00,TITANS FIF MULTI,0.24%
2025-04-03 00:00:00,Carteira 1,-0.02%
2025-04-03 00:00:00,CSHG CHIEFS FIA IE,0.22%
2025-04-03 00:00:00,CSHG YANKEE FIC FIM IE,0.01%
2025-04-03 00:00:00,DODGERS FIA,0.06%
2025-04-03 00:00:00,RAMS FIA,0.37%
2025-04-03 00:00:00,TITANS FIF MULTI,0.19%
2025-04-04 00:00:00,Carteira 1,-0.02%
2025-04-04 00:00:00,CSHG CHIEFS FIA IE,-0.15%
2025-04-04 00:00:00,CSHG YANKEE FIC FIM IE,-0.22%
2025-04-04 00:00:00,DODGERS FIA,-0.13%
2025-04-04 00:00:00,RAMS FIA,-0.15%
2025-04-04 00:00:00,TITANS FIF MULTI,-0.11%
2025-04-07 00:00:00,Carteira 1,-0.01%
2025-04-07 00:00:00,CSHG CHIEFS FIA IE,-0.05%
2025-04-07 00:00:00,CSHG YANKEE FIC FIM IE,-0.11%
2025-04-07 00:00:00,DODGERS FIA,0.04%
2025-04-07 00:00:00,RAMS FIA,-0.13%
2025-04-07 00:00:00,TITANS FIF MULTI,-0.06%
2025-04-08 00:00:00,Carteira 1,-0.01%
2025-04-08 00:00:00,CSHG CHIEFS FIA IE,-0.29%
2025-04-08 00:00:00,CSHG YANKEE FIC FIM IE,-0.36%
2025-04-08 00:00:00,DODGERS FIA,-0.12%
2025-04-08 00:00:00,RAMS FIA,-0.36%
2025-04-08 00:00:00,TITANS FIF MULTI,-0.37%
2025-04-09 00:00:00,Carteira 1,-0.02%
2025-04-09 00:00:00,CSHG CHIEFS FIA IE,0.49%
2025-04-09 00:00:00,CSHG YANKEE FIC FIM IE,0.61%
2025-04-09 00:00:00,DODGERS FIA,0.43%
2025-04-09 00:00:00,RAMS FIA,0.33%
2025-04-09 00:00:00,TITANS FIF MULTI,0.49%
2025-04-10 00:00:00,Carteira 1,-0.01%
2025-04-10 00:00:00,CSHG CHIEFS FIA IE,-0.34%
2025-04-10 00:00:00,CSHG YANKEE FIC FIM IE,-0.35%
2025-04-10 00:00:00,DODGERS FIA,-0.23%
2025-04-10 00:00:00,RAMS FIA,-0.25%
2025-04-10 00:00:00,TITANS FIF MULTI,-0.34%
2025-04-11 00:00:00,Carteira 1,-0.02%
2025-04-11 00:00:00,CSHG CHIEFS FIA IE,0.27%
2025-04-11 00:00:00,CSHG YANKEE FIC FIM IE,0.18%
2025-04-11 00:00:00,DODGERS FIA,0.30%
2025-04-11 00:00:00,RAMS FIA,0.24%
2025-04-11 00:00:00,TITANS FIF MULTI,0.26%
2025-04-14 00:00:00,Carteira 1,-0.02%
2025-04-14 00:00:00,CSHG CHIEFS FIA IE,0.30%
2025-04-14 00:00:00,CSHG YANKEE FIC FIM IE,0.23%
2025-04-14 00:00:00,DODGERS FIA,0.20%
2025-04-14 00:00:00,RAMS FIA,0.34%
2025-04-14 00:00:00,TITANS FIF MULTI,0.29%
2025-04-15 00:00:00,Carteira 1,-0.02%
2025-04-15 00:00:00,CSHG CHIEFS FIA IE,-0.02%
2025-04-15 00:00:00,CSHG YANKEE FIC FIM IE,-0.05%
2025-04-15 00:00:00,DODGERS FIA,-0.08%
2025-04-15 00:00:00,RAMS FIA,0.02%
2025-04-15 00:00:00,TITANS FIF MULTI,-0.07%
2025-04-16 00:00:00,Carteira 1,-0.02%
2025-04-16 00:00:00,CSHG CHIEFS FIA IE,-0.01%
2025-04-16 00:00:00,CSHG YANKEE FIC FIM IE,-0.10%
2025-04-16 00:00:00,DODGERS FIA,-0.08%
2025-04-16 00:00:00,RAMS FIA,0.05%
2025-04-16 00:00:00,TITANS FIF MULTI,-0.03%
2025-04-17 00:00:00,Carteira 1,0.24%
2025-04-17 00:00:00,CSHG CHIEFS FIA IE,0.23%
2025-04-17 00:00:00,CSHG YANKEE FIC FIM IE,0.20%
2025-04-17 00:00:00,DODGERS FIA,0.22%
2025-04-17 00:00:00,RAMS FIA,0.19%
2025-04-17 00:00:00,TITANS FIF MULTI,0.22%
2025-04-22 00:00:00,Carteira 1,0.03%
2025-04-22 00:00:00,CSHG CHIEFS FIA IE,0.01%
2025-04-22 00:00:00,CSHG YANKEE FIC FIM IE,0.05%
2025-04-22 00:00:00,DODGERS FIA,-0.17%
2025-04-22 00:00:00,RAMS FIA,0.08%
2025-04-22 00:00:00,TITANS FIF MULTI,0.03%
