date,portfolio_id,profitability_in_day,profitability_in_month,profitability_in_year
2025-01-16,1203,-0.0016274548,0.0104625194,0.0104625194
2025-01-16,1206,0.0013628678,0.0016738826,0.0016738826
2025-01-16,1211,-0.0037575639,0.0167852053,0.0167852053
2025-01-16,1175,-0.0046676465,0.0055283944,0.0055283944
2025-01-16,1204,0.0009020666,0.0037680195,0.0037680195
2025-01-16,1208,-0.003053513,0.0014882199,0.0014882199
2025-01-16,1232,-0.0005564722,-0.994398292,-0.994398292
2025-01-16,1695,0.0033813136,0.0098941478,0.0098941478
2025-01-16,1209,-0.0012666404,0.000917193,0.000917193
2025-01-16,1270,-0.0010083656,0.0052378468,0.0052378468
2025-01-16,1694,-0.0007608309,,
2025-01-16,1297,-0.0032417785,-0.0059616629,-0.0059616629
2025-01-16,1672,0.0011029929,5.89582e-05,5.89582e-05
2025-01-16,1296,-0.0006416308,0.0026326668,0.0026326668
2025-01-17,1203,-0.0007772258,0.0096771617,0.0096771617
2025-01-17,1205,0.0013805955,0.0052175203,0.0052175203
2025-01-17,1607,0.0033695761,0.0007908081,0.0007908081
2025-01-17,1233,0.0001670377,-0.3468517198,-0.3468517198
2025-01-17,1295,0.001014461,0.0080466143,0.0080466143
2025-01-17,1517,0.0099251129,0.0123300841,0.0123300841
2025-01-17,1234,-1.0000330164,-0.9999959229,-0.9999959229
2025-01-17,1209,-0.0004552129,0.0004615625,0.0004615625
2025-01-17,1694,-0.0007623705,,
2025-01-17,1207,0.0,0.0,0.0
2025-01-17,1208,0.0008735354,0.0023630554,0.0023630554
2025-01-17,1608,0.0033313642,0.0029986359,0.0029986359
2025-01-17,1672,0.0030966182,0.0031557591,0.0031557591
2025-01-17,1210,0.0001420676,0.006930549,0.006930549
2025-01-17,1175,0.0037718307,0.0093210773,0.0093210773
2025-01-17,1232,-0.0005523428,-0.9944013861,-0.9944013861
2025-01-17,1270,0.0010830552,0.0063265748,0.0063265748
2025-01-17,1695,0.0034290254,0.0133571006,0.0133571006
2025-01-17,1157,0.0002063978,0.0026880064,0.0026880064
2025-01-17,1273,0.0002310535,0.0178249072,0.0178249072
2025-01-17,1206,0.001947231,0.0036243731,0.0036243731
2025-01-17,1204,0.0013759707,0.0051491749,0.0051491749
2025-01-17,1297,0.0023875701,-0.0035883267,-0.0035883267
2025-01-17,1875,,,
2025-01-17,1676,-0.0105675448,,
2025-01-17,1211,-0.0026527755,0.0140879023,0.0140879023
2025-01-17,1296,0.0011352087,0.0037708642,0.0037708642
2025-01-17,1693,-0.0003148181,,
2025-01-17,1247,0.0048260806,0.0166763522,0.0166763522
2025-01-20,1234,-0.0081305422,-0.999995956,-0.999995956
2025-01-20,1211,0.0025416476,0.0166653565,0.0166653565
2025-01-20,1205,-0.0019445056,0.0032628691,0.0032628691
2025-01-20,1297,-0.0006477501,-0.0042337525,-0.0042337525
2025-01-20,1273,-0.0049500658,0.0127866068,0.0127866068
2025-01-20,1157,0.0004127588,0.0031018747,0.0031018747
2025-01-20,1175,0.0018851945,0.0112238439,0.0112238439
2025-01-20,1676,-0.010682343,,
2025-01-20,1695,0.0011923394,0.0145653663,0.0145653663
2025-01-20,1207,0.0,0.0,0.0
2025-01-20,1517,0.0048272047,0.0172168086,0.0172168086
2025-01-20,1233,0.0001732783,-0.3467385434,-0.3467385434
2025-01-20,1206,-0.0057266837,-0.0021230662,-0.0021230662
2025-01-20,1608,-0.0018427298,0.0011503803,0.0011503803
2025-01-20,1210,0.0010950806,0.0080332191,0.0080332191
2025-01-20,1672,-0.0031173125,2.86091e-05,2.86091e-05
2025-01-20,1693,-0.000315153,,
2025-01-20,1204,-0.002019802,0.0031189726,0.0031189726
2025-01-20,1296,0.0007770944,0.004550889,0.004550889
2025-01-20,1270,0.0008578984,0.0071899009,0.0071899009
2025-01-20,1875,,,
2025-01-20,1694,-0.0007630107,,
2025-01-20,1607,-0.0023414734,-0.0015525169,-0.0015525169
2025-01-20,1295,0.0009084085,0.0089623325,0.0089623325
2025-01-20,1247,0.0016063868,0.0183095278,0.0183095278
2025-01-20,1203,0.0003429598,0.0100234404,0.0100234404
2025-01-20,1208,0.0043635015,0.0067368681,0.0067368681
2025-01-20,1232,-0.0005354632,-0.994404384,-0.994404384
2025-01-20,1209,0.0046048732,0.0050685612,0.0050685612
2025-01-21,1205,0.0009161346,0.004181993,0.004181993
2025-01-21,1270,0.0015234798,0.0087243344,0.0087243344
2025-01-21,1608,0.0028991143,0.0040528298,0.0040528298
2025-01-21,1208,0.0033861202,0.0101458002,0.0101458002
2025-01-21,1175,0.0025913125,0.0138442409,0.0138442409
2025-01-21,1672,0.0022130903,0.0022417627,0.0022417627
2025-01-21,1232,-0.0005403637,-0.9944074076,-0.9944074076
2025-01-21,1695,0.0042819087,0.0189096426,0.0189096426
2025-01-21,1273,0.0038204427,0.0166559001,0.0166559001
2025-01-21,1295,0.0007707139,0.0097399539,0.0097399539
2025-01-21,1209,0.0033465341,0.0084320574,0.0084320574
2025-01-21,1210,0.0017015672,0.0097484554,0.0097484554
2025-01-21,1247,0.0048939318,0.0232930652,0.0232930652
2025-01-21,1694,-0.0007636313,,
2025-01-21,1211,-0.0015313931,0.0151084421,0.0151084421
2025-01-21,1296,0.0015228911,0.0060807107,0.0060807107
2025-01-21,1203,-0.0003872192,0.0096323399,0.0096323399
2025-01-21,1157,0.0003549737,0.0034579496,0.0034579496
2025-01-21,1204,0.000913448,0.0040352696,0.0040352696
2025-01-21,1517,0.0031500554,0.020421098,0.020421098
2025-01-21,1207,0.0,0.0,0.0
2025-01-21,1875,,,
2025-01-21,1607,0.0026959896,0.001139287,0.001139287
2025-01-21,1233,1.0228940589,0.3214787194,0.3214787194
2025-01-21,1693,-0.0003146663,,
2025-01-21,1206,0.0010395706,-0.0010857026,-0.0010857026
2025-01-21,1234,-0.0082086224,-0.9999959892,-0.9999959892
2025-01-21,1297,0.0013299047,-0.0029094782,-0.0029094782
2025-01-21,1676,-0.0107889472,,
2025-01-22,1270,0.0011326792,0.0098668956,0.0098668956
2025-01-22,1211,0.0015512728,0.0166831523,0.0166831523
2025-01-22,1693,-0.0003153182,,
2025-01-22,1204,0.0010845079,0.0051241539,0.0051241539
2025-01-22,1209,-0.0048158458,0.0035756041,0.0035756041
2025-01-22,1607,-0.0081236355,-0.0069936036,-0.0069936036
2025-01-22,1232,0.0004725871,-0.9944047646,-0.9944047646
2025-01-22,1247,0.0075817538,0.0310514214,0.0310514214
2025-01-22,1233,-0.5054223521,-0.3464261632,-0.3464261632
2025-01-22,1672,0.0056107695,0.0078651103,0.0078651103
2025-01-22,1273,-0.0029234008,0.0136838074,0.0136838074
2025-01-22,1295,-0.0029329001,0.0067784874,0.0067784874
2025-01-22,1207,0.0,0.0,0.0
2025-01-22,1297,-0.0012250141,-0.0041309282,-0.0041309282
2025-01-22,1608,-0.0061139831,-0.0020859322,-0.0020859322
2025-01-22,1210,0.0021679344,0.0119375239,0.0119375239
2025-01-22,1695,-0.0597004293,-0.0419197004,-0.0419197004
2025-01-22,1203,0.0013181627,0.0109631996,0.0109631996
2025-01-22,1206,0.0015525271,0.0004651389,0.0004651389
2025-01-22,1296,-0.0014717373,0.0046000241,0.0046000241
2025-01-22,1175,-0.0003276232,0.0135120819,0.0135120819
2025-01-22,1517,-0.005495122,0.0148137595,0.0148137595
2025-01-22,1234,-0.0082765616,-0.9999960224,-0.9999960224
2025-01-22,1205,0.0010798192,0.005266328,0.005266328
2025-01-22,1694,-0.0007642939,,
2025-01-22,1208,-0.0054393115,0.0046513024,0.0046513024
2025-01-22,1875,,,
2025-01-22,1676,0.4380029105,,
2025-01-22,1157,0.0005218924,0.0039816467,0.0039816467
2025-01-23,1296,0.0001160079,0.0047165657,0.0047165657
2025-01-23,1672,0.0016797985,0.0095581207,0.0095581207
2025-01-23,1517,0.0003380904,0.0151568583,0.0151568583
2025-01-23,1295,0.0033320647,0.0101331385,0.0101331385
2025-01-23,1205,0.0009910349,0.0062625821,0.0062625821
2025-01-23,1695,-0.0018183576,-0.0436618331,-0.0436618331
2025-01-23,1693,-0.0003154693,,
2025-01-23,1270,0.0013005857,0.011180314,0.011180314
2025-01-23,1297,-0.0001765173,-0.0043067164,-0.0043067164
2025-01-23,1232,-0.0015704338,-0.9944135516,-0.9944135516
2025-01-23,1207,0.0,0.0,0.0
2025-01-23,1607,-0.0018377232,-0.0088184745,-0.0088184745
2025-01-23,1233,0.0001655138,-0.3463179876,-0.3463179876
2025-01-23,1203,-0.0011988239,0.0097512328,0.0097512328
2025-01-23,1676,-5.45048e-05,,
2025-01-23,1157,8.4717e-05,0.0040667011,0.0040667011
2025-01-23,1234,-0.0083456348,-0.9999960556,-0.9999960556
2025-01-23,1247,-0.0055843559,0.0252936632,0.0252936632
2025-01-23,1209,-0.0010935511,0.0024781429,0.0024781429
2025-01-23,1175,0.0007671683,0.0142896163,0.0142896163
2025-01-23,1875,,,
2025-01-23,1608,-0.0020523711,-0.0041340222,-0.0041340222
2025-01-23,1204,0.000999405,0.00612868,0.00612868
2025-01-23,1273,-0.0119911485,0.0015285743,0.0015285743
2025-01-23,1206,0.0015626811,0.0020285469,0.0020285469
2025-01-23,1210,-0.0018552971,0.010060079,0.010060079
