overview_date,portfolio_id,instrument_id,book_name,instrument_type,quantity,price,asset_value,exposure_value,dtd_ativo_fin,portfolio_origem,nivel,portfolio_nav,pct_exposicao
2025-06-20,1295,1,Caixa,7,0.0100000000634651,1.0,0.0100000000634651,0.0100000000634651,0.0,1695,2,9472186945.78,1.055722413493993e-12
2025-06-20,1295,1194,Risco >> Renda Variável Próprio,3,207269478.35465127,1.32560622,274757709.72375417,274757709.7230811,-1294453.858215272,1695,2,9472186945.78,0.0290067870594012
2025-06-20,1295,1890,Padrão,5,-15902.000055680986,139621.0,0.0,-444050629.954847,5505272.419276758,1270,2,9472186945.78,-0.0468794199794249
2025-06-20,1295,1808,Padrão,5,16532.000057886937,138833.0,0.0,459037432.8073234,0.0,1270,2,9472186945.78,0.048461610337181
2025-06-20,1295,1663,Caixa,5,0.0,124540.0,0.0,0.0,0.0,1270,2,9472186945.78,0.0
2025-06-20,1295,1845,Padrão,3,20000.000070030168,594.28,65641791.909845285,65641791.909845285,-124403.52043559996,1270,2,9472186945.78,0.0069299510541321
2025-06-20,1295,228,Risco >> Renda Variável Próprio,2,4694551.01643801,11.53,54128173.219530255,54128173.219530255,-1924765.916739584,1270,2,9472186945.78,0.0057144325306676
2025-06-20,1295,1598,Caixa,16,8876.00003107939,16733.62222294,148527631.37007076,148527631.3708862,0.0,1270,2,9472186945.78,0.0156803948466259
2025-06-20,1295,1410,Caixa,16,0.0,16746.16648094,0.0,0.0,79884.85027971747,1270,2,9472186945.78,0.0
2025-06-20,1295,1708,Padrão,2,57436.00020111264,143.85,45630304.8997749,45630304.9038549,-359951.90126037464,1270,2,9472186945.78,0.0048172935315834
2025-06-20,1295,1213,Caixa,3,162654359.21702883,1.12876319,183598253.3728708,183598253.37721932,100574.07035216095,1270,2,9472186945.78,0.0193828789938542
2025-06-20,1295,1707,Padrão,2,13888.000048628948,477.4,36616888.71821435,36616888.71957435,-92441.86032368596,1270,2,9472186945.78,0.0038657269888331
2025-06-20,1295,1706,Padrão,2,10046.000035176154,682.35,37858176.13256072,37858176.131240726,-613093.222146751,1270,2,9472186945.78,0.0039967724822098
2025-06-20,1295,1405,Caixa,1,1620.0000056724436,16763.711356,27157212.495091207,27157212.49181121,14729.140051574208,1270,2,9472186945.78,0.0028670477733666
2025-06-20,1295,1891,Padrão,5,-780.0000027311766,139621.0,0.0,-108904380.3813296,1350180.0047276667,1270,2,9472186945.78,-0.0114972794566568
2025-06-20,1295,1809,Padrão,5,780.0000027311766,138833.0,0.0,108289740.37917744,0.0,1270,2,9472186945.78,0.0114323905344184
2025-06-20,1295,1866,Padrão,4,75000.00026261313,3160.998053,2370748.548301196,-28876593.89911164,249420.60087334836,1270,2,9472186945.78,-0.0030485667211178
2025-06-20,1295,1865,Padrão,4,-75000.00026261313,1823.015133,-1367261.3547874773,17903899.564940657,-127702.15044715015,1270,2,9472186945.78,0.0018901547939694
2025-06-20,1295,1704,Padrão,2,35514.00012435257,166.64,32684223.00444408,32684223.00193208,-1194473.9041824604,1270,2,9472186945.78,0.0034505466571786
2025-06-20,1295,1673,Padrão,5,0.0,5830.1,0.0,0.0,0.0,1270,2,9472186945.78,0.0
2025-06-20,1295,392,Risco >> Renda Variável Próprio,2,3570500.012502136,9.04,32277320.113019302,32277320.113019302,-1071150.003750641,1270,2,9472186945.78,0.0034075890074571
2025-06-20,1295,1,Caixa,7,488504.7517105035,1.0,488504.7517105035,488504.7517105035,0.0,1270,2,9472186945.78,5.1572541220603714e-05
2025-06-20,1295,1402,Padrão,3,3274653.011466225,133.9,438476038.2353276,438476038.2353276,-4977472.577428662,1270,2,9472186945.78,0.0462908978407225
2025-06-20,1295,1247,Risco >> Renda Variável Terceiros,3,155200682.75681233,1.2802459,198695037.7810212,198695037.7766097,-1632618.0603614363,1695,2,9472186945.78,0.0209766803499514
2025-06-20,1296,1603,Caixa,1,10000.0,1073.31131989,10733113.2,10733113.1989,5734.0,1296,0,874219978.19,0.0122773597797684
2025-06-20,1295,1391,Caixa,16,0.0,4169.70530727,0.0,0.0,3898.6300247427166,1695,2,9472186945.78,0.0
2025-06-20,1295,1206,Risco >> Multimercado Terceiros,3,410561668.3199428,1.2255508,503164181.05871934,503164181.0588406,819645.3173827035,1203,1,9472186945.78,0.0531201700239887
2025-06-20,1295,1318,Caixa,1,44569.046702,1216.14730996,54202526.25,54202526.25411891,28663.03,1295,0,9472186945.78,0.0057222821471304
2025-06-20,1295,1549,Caixa,1,49500.0,1087.07987061,53810453.6,53810453.595195,28747.41,1295,0,9472186945.78,0.0056808901580187
2025-06-20,1295,1601,Caixa,1,93000.0,1078.51333642,100301740.29,100301740.28706,53584.66,1295,0,9472186945.78,0.0105890794661465
2025-06-20,1295,1322,Caixa,1,104000.0,1108.53140852,115287266.49,115287266.48608,61902.92,1295,0,9472186945.78,0.0121711350447366
2025-06-20,1295,1618,Caixa,1,90000.0,1070.21142642,96319028.38,96319028.3778,51456.95,1295,0,9472186945.78,0.0101686156459054
2025-06-20,1295,1547,Caixa,1,103000.0,1088.80132541,112146536.52,112146536.51723,59912.56,1295,0,9472186945.78,0.0118395611445562
2025-06-20,1295,1699,Caixa,1,217000.0,1062.49711483,230561873.92,230561873.91811,123174.12,1295,0,9472186945.78,0.0243409336447723
2025-06-20,1295,1698,Caixa,1,185352.13195,1062.97343553,197024392.48,197024392.48170137,105257.24,1295,0,9472186945.78,0.0208003065827874
2025-06-20,1295,1221,Risco >> Crédito,3,20500.0,1246.95403972,25562557.81,25562557.81426,0.0,1295,0,9472186945.78,0.0026986965059477
2025-06-20,1295,1222,Risco >> Crédito,3,1691.14336418,1834.26678898,3102008.11,3102008.1083192835,0.0,1295,0,9472186945.78,0.0003274859466008
2025-06-20,1295,1187,Risco >> Multimercado Terceiros,3,264331.84227855,146.4429479,38709534.21,38709534.20710871,-52426.52,1295,0,9472186945.78,0.0040866522618997
2025-06-20,1295,1184,Risco >> Outros,3,42493717.69,1.162362,49393082.68,49393082.68158378,1869.72,1295,0,9472186945.78,0.0052145384127568
2025-06-20,1295,1231,Risco >> Crédito,3,51432.27777811,486.40324186,25016826.65,25016826.647516742,0.0,1295,0,9472186945.78,0.002641082443866
2025-06-20,1295,1225,Risco >> Ilíquidos,3,9250.0000029,153.3185699,1418196.77,1418196.7720196238,0.0,1295,0,9472186945.78,0.0001497222109463
2025-06-20,1295,1,Caixa,7,37090699.90334139,1.0,37090699.90334139,37090699.90334139,0.0,1882,1,9472186945.78,0.0039157482971623
2025-06-20,1295,1213,Padrão,3,326624569.39163256,1.12876319,368681790.87723154,368681790.8788756,201961.7602727992,1203,1,9472186945.78,0.0389225627607707
2025-06-20,1295,1274,Caixa,3,32736.128595296606,16.10264063,527138.1122310486,527138.1143875279,0.0,1203,1,9472186945.78,5.565115188339645e-05
2025-06-20,1295,1214,Caixa,3,3008330.964902909,4.4140439,13278904.948047249,13278904.944810802,7099.708506908992,1203,1,9472186945.78,0.0014018837487922
2025-06-20,1295,1273,Risco >> Multimercado Próprio,3,34077532.54841172,1.2945131,44113812.2937849,44113812.29959536,14861.214146836444,1203,1,9472186945.78,0.004657194009378
2025-06-20,1295,1158,Risco >> Multimercado Próprio,3,239542597.79207036,1.592102,381376249.03179455,381376249.02995074,-163051.85049695295,1203,1,9472186945.78,0.0402627451519904
2025-06-20,1295,1,Caixa,7,497.0461996743858,1.0,497.0461996743858,497.0461996743858,0.0,1203,1,9472186945.78,5.247428102079713e-08
2025-06-20,1295,1211,Risco >> Renda Fixa,3,1625712971.27488,1.12749791,1832987977.3675249,1832987977.372317,5988622.615696362,1203,1,9472186945.78,0.1935126479095664
2025-06-20,1295,1157,Risco >> Multimercado Próprio,3,0.0077724605381682,1.37098846,0.0099409239934877,0.010655953703634,0.0,1203,1,9472186945.78,1.1249729090684253e-12
2025-06-20,1295,1452,Caixa,16,8073.000051235422,890.96267196,7192741.695648849,7192741.696381928,0.0,1695,2,9472186945.78,0.000759353857515
2025-06-20,1296,1345,Caixa,1,1000.0,1191.43069138,1191430.69,1191430.69138,626.81,1296,0,874219978.19,0.0013628499932554
2025-06-20,1296,1328,Caixa,1,241.423,1165.59052905,281400.36,281400.3622948381,149.57,1296,0,874219978.19,0.0003218873616654
2025-06-20,1296,1842,Caixa,1,21557.14027,1143.94690296,24660223.85,24660223.8485408,13174.34,1296,0,874219978.19,0.028208259321181
2025-06-20,1676,1712,Padrão,3,20.0,437.88984577,8757.8,8757.7969154,-46.22,1676,0,18303689.18,0.0004784716801774
2025-06-20,1676,1833,Padrão,3,2377500.0,0.93914382,2232814.43,2232814.43205,-597.47,1676,0,18303689.18,0.1219871256604238
2025-06-20,1676,1224,Padrão,3,12090.76931,891.58444081,10779941.79,10779941.79421906,104.21,1676,0,18303689.18,0.5889491286815579
2025-06-20,1676,1853,Padrão,3,2625000.0,1.0612576,2785801.2,2785801.2,20.66,1676,0,18303689.18,0.1521988913056925
2025-06-20,1608,1198,Risco >> Renda Variável Terceiros,3,16497431.79088095,1.275678,21045410.79,21045410.792127427,-49606.13,1608,0,179193143.76,0.1174454019307475
2025-06-20,1608,1626,Risco >> Multimercado Terceiros,3,1131352.70808786,7.6606202,8666863.41,8666863.408902563,10570.57,1608,0,179193143.76,0.048366043627821
2025-06-20,1608,1376,Caixa,16,0.0,4082.94100446,0.0,0.0,3775.45,1608,0,179193143.76,0.0
2025-06-20,1608,1366,Caixa,16,1639.0,4249.84585122,6965497.35,6965497.35014958,0.0,1608,0,179193143.76,0.0388714501235534
2025-06-20,1608,1589,Caixa,16,582.0,0.0,0.0,0.0,0.0,1608,0,179193143.76,0.0
