portfolio_id,date,portfolio_nav
1270,2025-05-22,1091065616.950000000
1273,2025-06-17,44365026.520000000
1270,2025-05-13,1070955381.540000000
1270,2025-05-16,1086290630.420000000
1208,2025-05-30,348914521.740000000
1608,2025-06-09,180596003.870000000
1296,2025-05-16,871391849.180000000
1270,2025-05-15,1083847841.010000000
1205,2025-06-02,309942038.720000000
1607,2025-06-23,173168788.210000000
1882,2025-06-23,18463359.950000000
1875,2025-04-30,97945609.980000000
1875,2025-05-06,98005535.170000000
1875,2025-05-07,98020986.910000000
1875,2025-05-09,98053314.170000000
1875,2025-05-14,98102196.750000000
1875,2025-05-15,98118201.630000000
1875,2025-05-16,98173078.450000000
1875,2025-05-19,98218742.510000000
1270,2025-05-27,1095130795.310000000
1209,2025-06-13,414449706.940000000
1296,2025-06-11,901940374.860000000
1607,2025-06-05,174718137.960000000
1203,2025-06-16,3156861423.090000000
1882,2025-06-03,18544195.440000000
1232,2025-05-28,10598518.900000000
1233,2025-06-12,92847250.310000000
1203,2025-06-24,3165821098.500000000
1295,2025-06-20,9462990683.060000000
1875,2025-05-21,98116878.940000000
1208,2025-05-19,346219422.680000000
1208,2025-05-20,345228031.910000000
1208,2025-05-21,337493032.310000000
1208,2025-05-22,339883619.150000000
1157,2025-06-23,75766315.430000000
1607,2025-06-02,176497410.210000000
1270,2025-06-06,1102294521.710000000
1875,2025-05-26,97755909.930000000
1209,2025-06-20,411672421.340000000
1875,2025-05-28,97455122.770000000
1875,2025-05-29,97306677.410000000
1157,2025-06-17,75764773.540000000
1296,2025-06-06,896054480.850000000
1607,2025-05-16,169586324.830000000
1273,2025-06-18,44361018.930000000
1297,2025-05-09,1093003834.070000000
1205,2025-05-05,328758174.670000000
1157,2025-05-13,74802489.410000000
1204,2025-06-20,379056759.410000000
1695,2025-05-27,477832337.960000000
1234,2025-06-25,3534219.750000000
1208,2025-05-26,346252878.800000000
1208,2025-05-27,349537696.880000000
1270,2025-05-23,1088644068.570000000
1208,2025-05-16,345936987.710000000
1204,2025-05-15,377519444.140000000
1296,2025-05-19,871726541.650000000
1270,2025-05-07,1057525022.850000000
1607,2025-06-12,174931198.750000000
1296,2025-05-20,870556421.440000000
1693,2025-06-20,5754048.040000000
1296,2025-05-21,862213934.120000000
1676,2025-06-04,18297052.410000000
1296,2025-05-22,865237659.970000000
1695,2025-06-24,483461339.690000000
1232,2025-06-04,10599165.370000000
1517,2025-06-06,1161328404.080000000
1270,2025-06-09,1104886966.320000000
1208,2025-06-17,360003739.740000000
1608,2025-06-18,179627309.860000000
1270,2025-06-10,1107574300.670000000
1295,2025-06-04,9422880604.860000000
1295,2025-06-05,9417879400.800000000
1210,2025-05-21,152404222.780000000
1270,2025-06-11,1103825843.580000000
1886,2025-06-13,148357753.370000000
1247,2025-05-14,203360695.340000000
1608,2025-05-06,177180006.220000000
1517,2025-05-15,1104736739.690000000
1608,2025-05-07,178310429.540000000
1607,2025-06-13,173931159.390000000
1608,2025-05-08,177043788.060000000
1695,2025-05-12,466781997.950000000
1208,2025-06-12,359666188.710000000
1694,2025-06-25,16028473.150000000
1247,2025-05-05,205426885.560000000
1247,2025-05-06,206069330.080000000
1694,2025-06-09,15997848.890000000
1210,2025-05-06,150851026.480000000
1203,2025-06-17,3153950939.280000000
1694,2025-05-06,15993928.350000000
1210,2025-05-07,151084314.990000000
1694,2025-05-07,15982231.320000000
1210,2025-05-08,151329897.300000000
1694,2025-05-08,15986926.910000000
1882,2025-06-25,18463359.950000000
1210,2025-05-09,151288298.620000000
1232,2025-06-03,10599030.610000000
1204,2025-05-08,376166188.060000000
1695,2025-05-07,461746239.160000000
1247,2025-05-09,209855257.030000000
1210,2025-05-12,151388826.920000000
1233,2025-05-06,92411741.030000000
1233,2025-05-09,92459821.020000000
1233,2025-05-12,92476336.350000000
1247,2025-05-12,209067082.640000000
1233,2025-05-13,92492645.350000000
1233,2025-05-15,92525183.940000000
1210,2025-05-13,151615034.740000000
1233,2025-05-16,92581175.320000000
1233,2025-05-20,92639410.080000000
1882,2025-06-12,18463359.950000000
1233,2025-05-21,92644449.770000000
1296,2025-05-26,872458123.280000000
1232,2025-06-25,10600994.320000000
1210,2025-05-14,151527172.730000000
1233,2025-06-25,92960675.410000000
1232,2025-05-14,7000030.070000000
1209,2025-05-28,402820174.770000000
1209,2025-05-29,402858725.500000000
1296,2025-06-12,906773447.770000000
1296,2025-06-13,907011533.490000000
1232,2025-06-18,10600497.400000000
1233,2025-05-22,92666378.890000000
1233,2025-06-18,92904056.270000000
1270,2025-06-25,1099376808.930000000
1234,2025-06-02,19301487.390000000
1297,2025-06-09,1126866327.790000000
1882,2025-06-09,18479130.970000000
1694,2025-06-16,16020363.310000000
1882,2025-06-10,18394043.430000000
1882,2025-06-13,18463359.950000000
1209,2025-05-08,385203060.320000000
1676,2025-05-05,18274660.620000000
1232,2025-05-15,6999540.830000000
1208,2025-05-09,330549715.400000000
1234,2025-06-03,18333541.110000000
1157,2025-06-24,75766776.230000000
1297,2025-06-02,1121670570.240000000
1234,2025-06-04,17352877.590000000
1232,2025-05-16,10596954.240000000
1882,2025-06-11,18490007.300000000
1882,2025-06-16,18463359.950000000
1676,2025-06-25,18304667.480000000
1882,2025-06-17,18463359.950000000
1210,2025-05-16,152794657.930000000
1695,2025-06-25,481495888.140000000
1882,2025-06-18,18463359.950000000
1882,2025-06-24,18463359.950000000
1233,2025-06-16,92875609.320000000
1208,2025-06-09,350481230.190000000
1232,2025-05-19,10587745.390000000
1210,2025-05-19,153167170.530000000
1206,2025-05-27,504263863.600000000
1206,2025-05-29,503295902.790000000
1206,2025-05-28,503604612.840000000
1210,2025-06-23,153842782.420000000
1517,2025-06-20,1225558838.960000000
1209,2025-05-30,403599842.210000000
1886,2025-06-05,148055012.210000000
1232,2025-05-20,10586294.990000000
1693,2025-04-30,5438301.350000000
1209,2025-06-03,405023089.550000000
1210,2025-05-20,153269061.080000000
1234,2025-06-20,6480532.770000000
1157,2025-06-13,75718487.330000000
1234,2025-06-16,9435316.680000000
1206,2025-05-26,503542690.070000000
1233,2025-06-06,92806948.840000000
1875,2025-06-25,94558950.010000000
1232,2025-05-21,10590312.240000000
1607,2025-06-03,175916418.220000000
1234,2025-06-05,16366900.780000000
1203,2025-05-20,3165212429.900000000
1204,2025-06-17,378704196.210000000
